
1760794.00,-46.83,44.42,9/3/2010 11:29:00,17,231.00,8.00

1760819.00,-47.00,44.30,9/3/2010 12:30:00,17,221.00,11.00

1760829.00,-47.17,44.18,9/3/2010 13:30:00,17,228.00,11.00

1760842.00,-47.31,44.04,9/3/2010 14:31:00,17,216.00,10.00

1760865.00,-47.45,43.89,9/3/2010 15:31:00,17,214.00,10.00

1760918.00,-47.53,43.80,9/3/2010 16:31:00,17,31.00,6.00

1760929.00,-47.48,43.84,9/3/2010 17:32:00,17,43.00,3.00

1760956.00,-47.44,43.88,9/3/2010 18:33:00,17,345.00,3.00

1760967.00,-47.42,43.92,9/3/2010 19:33:00,17,38.00,3.00

1760977.00,-47.41,43.97,9/3/2010 20:33:00,17,58.00,3.00

1760997.00,-47.36,44.01,9/3/2010 21:34:00,17,358.00,3.00

1761036.00,-47.33,44.03,9/3/2010 22:34:00,17,155.00,2.00

1761056.00,-47.39,43.96,9/3/2010 23:35:00,17,211.00,11.00

1761096.00,-47.53,43.80,10/3/2010 0:35:00,17,216.00,11.00

1761116.00,-47.50,43.83,10/3/2010 1:36:00,17,43.00,3.00

1761128.00,-47.46,43.87,10/3/2010 2:36:00,17,38.00,3.00

1761142.00,-47.42,43.91,10/3/2010 3:37:00,17,73.00,3.00

1761158.00,-47.42,43.95,10/3/2010 4:38:00,17,9.00,3.00

1761196.00,-47.38,43.99,10/3/2010 5:38:00,17,43.00,3.00

1761258.00,-47.34,44.03,10/3/2010 6:39:00,17,47.00,3.00

1761268.00,-47.33,44.05,10/3/2010 7:39:00,17,37.00,2.00

1761282.00,-47.37,44.00,10/3/2010 8:39:00,17,209.00,2.00

1761303.00,-47.43,43.90,10/3/2010 10:40:00,17,210.00,3.00

1761316.00,-47.46,43.85,10/3/2010 11:41:00,17,219.00,3.00

1761327.00,-47.50,43.80,10/3/2010 12:41:00,17,192.00,4.00

1761341.00,-47.52,43.75,10/3/2010 13:42:00,17,207.00,3.00

1761353.00,-47.56,43.70,10/3/2010 14:42:00,17,219.00,3.00

1761378.00,-47.60,43.66,10/3/2010 15:43:00,17,212.00,3.00

1761437.00,-47.63,43.61,10/3/2010 16:43:00,17,226.00,3.00

1761477.00,-47.68,43.57,10/3/2010 17:44:00,17,222.00,3.00

1761517.00,-47.69,43.53,10/3/2010 18:44:00,17,242.00,11.00

1761529.00,-47.72,43.35,10/3/2010 19:45:00,17,201.00,11.00

1761558.00,-47.74,43.15,10/3/2010 20:45:00,17,185.00,13.00

1761616.00,-47.75,42.95,10/3/2010 21:46:00,17,181.00,12.00

1761657.00,-47.75,42.75,10/3/2010 22:46:00,17,186.00,12.00

1761678.00,-47.76,42.61,10/3/2010 23:47:00,17,158.00,4.00

1761718.00,-47.76,42.55,11/3/2010 0:47:00,17,165.00,4.00

1761779.00,-47.75,42.51,11/3/2010 1:48:00,17,171.00,3.00

1761797.00,-47.79,42.48,11/3/2010 2:48:00,17,253.00,4.00

1761839.00,-47.91,42.46,11/3/2010 3:48:00,17,250.00,10.00

1761858.00,-48.12,42.40,11/3/2010 4:49:00,17,254.00,10.00

1761917.00,-48.34,42.34,11/3/2010 5:49:00,17,250.00,10.00

1761959.00,-48.55,42.28,11/3/2010 6:50:00,17,250.00,10.00

1762015.00,-48.77,42.22,11/3/2010 7:50:00,17,253.00,7.00

1762038.00,-49.00,42.16,11/3/2010 8:51:00,17,254.00,10.00

1762058.00,-49.23,42.09,11/3/2010 9:51:00,17,247.00,11.00

1762070.00,-49.45,42.03,11/3/2010 10:52:00,17,248.00,12.00

1762081.00,-49.67,41.96,11/3/2010 11:52:00,17,246.00,10.00

1762092.00,-49.78,41.93,11/3/2010 12:52:00,17,246.00,4.00

1762119.00,-49.87,41.90,11/3/2010 13:53:00,17,250.00,5.00

1762138.00,-49.91,41.89,11/3/2010 14:54:00,17,250.00,0.00

1762176.00,-49.98,41.75,11/3/2010 15:54:00,17,196.00,12.00

1762238.00,-50.04,41.67,11/3/2010 16:55:00,17,263.00,3.00

1762296.00,-50.13,41.67,11/3/2010 17:55:00,17,296.00,3.00

1762318.00,-50.19,41.68,11/3/2010 18:56:00,17,304.00,1.00

1762337.00,-50.19,41.71,11/3/2010 19:56:00,17,9.00,2.00

1762348.00,-50.28,41.87,11/3/2010 20:56:00,17,341.00,11.00

1762397.00,-50.38,42.05,11/3/2010 21:57:00,17,338.00,8.00

1762439.00,-50.32,42.04,11/3/2010 22:58:00,17,115.00,4.00

1762477.00,-50.26,42.02,11/3/2010 23:58:00,17,107.00,3.00

1762489.00,-50.22,42.04,12/3/2010 0:59:00,17,74.00,7.00

1762516.00,-50.00,42.10,12/3/2010 1:59:00,17,66.00,11.00

1762536.00,-49.76,42.17,12/3/2010 2:59:00,17,70.00,11.00

1762598.00,-49.52,42.23,12/3/2010 4:00:00,17,78.00,10.00

1762618.00,-49.28,42.30,12/3/2010 5:00:00,17,67.00,12.00

1762657.00,-49.03,42.37,12/3/2010 6:01:00,17,71.00,10.00

1762669.00,-48.80,42.43,12/3/2010 7:02:00,17,71.00,10.00

1762683.00,-48.58,42.48,12/3/2010 8:02:00,17,64.00,11.00

1762692.00,-48.36,42.55,12/3/2010 9:02:00,17,83.00,11.00

1762703.00,-48.14,42.61,12/3/2010 10:03:00,17,72.00,12.00

1762714.00,-47.92,42.69,12/3/2010 11:03:00,17,60.00,12.00

1762723.00,-47.70,42.76,12/3/2010 12:03:00,17,68.00,9.00

1762739.00,-47.65,42.82,12/3/2010 13:04:00,17,46.00,3.00

1762751.00,-47.62,42.86,12/3/2010 14:05:00,17,342.00,3.00

1762761.00,-47.62,42.91,12/3/2010 15:05:00,17,4.00,3.00

1762772.00,-47.60,42.95,12/3/2010 16:06:00,17,7.00,3.00

1762818.00,-47.59,43.00,12/3/2010 17:06:00,17,0.00,4.00

1762858.00,-47.61,43.05,12/3/2010 18:07:00,17,350.00,3.00

1762898.00,-47.63,43.09,12/3/2010 19:07:00,17,331.00,3.00

1762908.00,-47.63,43.14,12/3/2010 20:07:00,17,298.00,3.00

1762939.00,-47.65,43.18,12/3/2010 21:08:00,17,23.00,3.00

1762959.00,-47.64,43.20,12/3/2010 22:09:00,17,69.00,0.00

1762978.00,-47.64,43.31,12/3/2010 23:09:00,17,355.00,9.00

1762999.00,-47.66,43.58,13/3/2010 1:10:00,17,10.00,6.00

1763008.00,-47.62,43.63,13/3/2010 2:10:00,17,49.00,3.00

1763038.00,-47.58,43.67,13/3/2010 3:11:00,17,18.00,3.00

1763049.00,-47.53,43.70,13/3/2010 4:11:00,17,44.00,3.00

1763061.00,-47.49,43.74,13/3/2010 5:12:00,17,25.00,2.00

1763098.00,-47.47,43.78,13/3/2010 6:12:00,17,313.00,4.00

1763141.00,-47.47,43.83,13/3/2010 7:13:00,17,27.00,4.00

1763153.00,-47.42,43.86,13/3/2010 8:13:00,17,40.00,3.00

1763162.00,-47.37,43.89,13/3/2010 9:14:00,17,352.00,3.00

1763174.00,-47.36,43.93,13/3/2010 10:14:00,17,331.00,2.00

1763183.00,-47.34,43.98,13/3/2010 11:15:00,17,74.00,3.00

1763193.00,-47.32,44.02,13/3/2010 12:15:00,17,330.00,3.00

1763205.00,-47.33,44.04,13/3/2010 13:15:00,17,65.00,0.00

1763221.00,-47.31,44.04,13/3/2010 14:17:00,17,212.00,7.00

1763241.00,-47.37,43.97,13/3/2010 15:17:00,17,205.00,3.00

1763249.00,-47.39,43.92,13/3/2010 16:17:00,17,188.00,4.00

1763259.00,-47.42,43.87,13/3/2010 17:18:00,17,222.00,3.00

1763280.00,-47.47,43.83,13/3/2010 18:18:00,17,211.00,4.00

1763291.00,-47.50,43.78,13/3/2010 19:19:00,17,203.00,3.00

1763301.00,-47.53,43.73,13/3/2010 20:19:00,17,219.00,3.00

1763311.00,-47.57,43.69,13/3/2010 21:19:00,17,215.00,3.00

1763320.00,-47.62,43.64,13/3/2010 22:20:00,17,223.00,4.00

1763341.00,-47.61,43.65,13/3/2010 23:21:00,17,332.00,9.00

1763349.00,-47.58,43.71,14/3/2010 0:21:00,17,37.00,3.00

1763360.00,-47.54,43.75,14/3/2010 1:21:00,17,54.00,3.00

1763377.00,-47.52,43.79,14/3/2010 2:22:00,17,67.00,3.00

1763388.00,-47.48,43.83,14/3/2010 3:22:00,17,89.00,3.00

1763399.00,-47.43,43.86,14/3/2010 4:23:00,17,78.00,2.00

1763409.00,-47.38,43.89,14/3/2010 5:24:00,17,309.00,3.00

1763499.00,-47.38,43.94,14/3/2010 6:24:00,17,60.00,3.00

1763537.00,-47.34,43.97,14/3/2010 7:24:00,17,58.00,4.00

1763548.00,-47.32,44.02,14/3/2010 8:25:00,17,36.00,3.00

1763557.00,-47.33,44.04,14/3/2010 9:25:00,17,252.00,2.00

1763567.00,-47.31,44.04,14/3/2010 10:26:00,17,76.00,2.00

1763578.00,-47.36,43.99,14/3/2010 11:26:00,17,208.00,3.00

1763617.00,-47.39,43.94,14/3/2010 12:27:00,17,188.00,4.00

1763629.00,-47.41,43.88,14/3/2010 13:27:00,17,215.00,3.00

1763656.00,-47.45,43.84,14/3/2010 14:28:00,17,227.00,3.00

1763697.00,-47.50,43.79,14/3/2010 15:28:00,17,209.00,3.00

1763717.00,-47.53,43.74,14/3/2010 16:29:00,17,190.00,3.00

1763739.00,-47.57,43.70,14/3/2010 17:29:00,17,217.00,4.00

1763778.00,-47.61,43.65,14/3/2010 18:30:00,17,222.00,4.00

1763817.00,-47.64,43.63,14/3/2010 19:30:00,17,264.00,3.00

1763857.00,-47.59,43.66,14/3/2010 20:30:00,17,50.00,6.00

1763869.00,-47.54,43.69,14/3/2010 21:31:00,17,43.00,3.00

1763897.00,-47.50,43.73,14/3/2010 22:31:00,17,72.00,3.00

1763910.00,-47.48,43.77,14/3/2010 23:32:00,17,42.00,3.00

1763939.00,-47.47,43.81,15/3/2010 0:33:00,17,325.00,2.00

1763947.00,-47.44,43.85,15/3/2010 1:33:00,17,78.00,2.00

1763956.00,-47.38,43.88,15/3/2010 2:34:00,17,78.00,3.00

1764016.00,-47.32,44.00,15/3/2010 5:35:00,17,341.00,3.00

1764077.00,-47.33,44.05,15/3/2010 6:35:00,17,340.00,3.00

1764098.00,-47.38,44.02,15/3/2010 7:36:00,17,190.00,12.00

1764108.00,-47.51,43.84,15/3/2010 8:37:00,17,205.00,12.00

1764118.00,-47.66,43.67,15/3/2010 9:37:00,17,213.00,13.00

1764132.00,-47.82,43.50,15/3/2010 10:37:00,17,206.00,10.00

1764146.00,-47.99,43.35,15/3/2010 11:38:00,17,208.00,11.00

1764236.00,-48.16,43.21,15/3/2010 12:38:00,17,223.00,12.00

