"","VE_COU","VE_REF","SI_LATI","SI_LONG","SI_DATE","SI_TIME","SI_SP","SI_HE","SI_DATIM","HL_ID"
"793","Atlantis","10",51.4434727414582,3.5869376673435,"NA                 ","NA                 ",0,8.3778213003406,NA,4
"224","Atlantis","10",51.4440472270441,3.58776006499386,"NA                 ","NA                 ",0,43.5494641140601,NA,5
"314","Atlantis","10",51.444524967507,3.58848871212453,"NA                 ","NA                 ",0,43.5491433367004,NA,5
"394","Atlantis","10",51.4450262953541,3.58925333460415,"NA                 ","NA                 ",0,43.5487911693164,NA,5
"474","Atlantis","10",51.4455694636869,3.59008177196261,"NA                 ","NA                 ",0,43.5485021953525,NA,5
"544","Atlantis","10",51.4460561767358,3.59082410403221,"NA                 ","NA                 ",0,43.5481458796077,NA,5
"624","Atlantis","10",51.4465993450685,3.59165254139067,"NA                 ","NA                 ",0,43.5478435987286,NA,5
"704","Atlantis","10",51.4471006729156,3.59241716387029,"NA                 ","NA                 ",0,43.5475509284576,NA,5
"794","Atlantis","10",51.4475784133785,3.59314581100096,"NA                 ","NA                 ",0,43.5472015387114,NA,5
"225","Atlantis","10",51.4480321703284,3.5936357393348,"NA                 ","NA                 ",0,248.552832149663,NA,6
"315","Atlantis","10",51.4479613403596,3.59334643970158,"NA                 ","NA                 ",0,248.552868730297,NA,6
"395","Atlantis","10",51.447887013317,3.59304285653548,"NA                 ","NA                 ",0,248.552911702991,NA,6
"475","Atlantis","10",51.4478064829893,3.59271393652213,"NA                 ","NA                 ",0,248.552930933158,NA,6
"545","Atlantis","10",51.4477343227417,3.59241920346628,"NA                 ","NA                 ",0,248.552976907889,NA,6
"625","Atlantis","10",51.447653792414,3.59209028345293,"NA                 ","NA                 ",0,248.553000064348,NA,6
"705","Atlantis","10",51.4475794653714,3.59178670028682,"NA                 ","NA                 ",0,248.553025473961,NA,6
"795","Atlantis","10",51.4475086354026,3.59149740065361,"NA                 ","NA                 ",0,248.553070487012,NA,6
