currency,nace_r2,geo\time	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 
MIO_EUR,O-Q,BE34	1619.70 	1569.90 	1526.50 	1430.30 	1396.60 	1326.90 	1247.30 	1229.30 	1165.30 	1111.70 	1090.00 	: 	: 	: 
MIO_EUR,O-Q,BE35	3219.80 	3118.30 	3009.10 	2891.50 	2723.40 	2633.40 	2468.40 	2389.00 	2298.40 	2164.40 	2071.10 	: 	: 	: 
MIO_EUR,O-Q,BEZ	218.60 	214.10 	203.80 	196.70 	156.20 	150.40 	144.20 	140.30 	142.90 	177.10 	228.60 	: 	: 	: 
MIO_EUR,O-Q,BEZZ	218.60 	214.10 	203.80 	196.70 	156.20 	150.40 	144.20 	140.30 	142.90 	177.10 	228.60 	: 	: 	: 
MIO_EUR,O-Q,BG	4099.54 	3564.15 	3434.24 	3356.13 	3261.35 	3127.91 	2669.02 	2358.27 	2370.16 	1957.44 	1508.56 	1603.69 	1490.85 	1436.62 
MIO_EUR,O-Q,BG3	1719.48 	1489.31 	1500.69 	1469.68 	1406.26 	1343.50 	794.37 	1028.43 	1068.14 	879.38 	673.28 	722.54 	668.21 	639.58 
MIO_EUR,O-Q,BG31	396.92 	339.00 	352.34 	342.83 	341.70 	327.12 	153.93 	259.04 	271.68 	222.59 	173.66 	183.97 	171.44 	161.96 
MIO_EUR,O-Q,BG32	397.71 	342.89 	353.99 	348.35 	331.86 	316.29 	162.01 	237.57 	246.87 	204.20 	156.07 	167.39 	154.16 	149.83 
MIO_EUR,O-Q,BG33	467.92 	408.31 	396.99 	393.99 	369.11 	353.04 	259.23 	261.95 	271.08 	221.25 	165.60 	179.80 	166.14 	158.16 
MIO_EUR,O-Q,BG34	456.92 	399.11 	397.36 	384.51 	363.59 	347.05 	219.19 	269.87 	278.50 	231.35 	177.95 	191.38 	176.48 	169.64 
MIO_EUR,O-Q,BG4	2380.06 	2074.84 	1933.55 	1886.45 	1855.09 	1784.41 	1874.65 	1329.83 	1302.03 	1078.05 	835.27 	881.15 	822.64 	797.04 
MIO_EUR,O-Q,BG41	1728.80 	1500.89 	1366.07 	1333.47 	1338.60 	1289.43 	1582.40 	948.41 	902.45 	757.00 	587.89 	616.71 	576.71 	562.72 
MIO_EUR,O-Q,BG42	651.26 	573.94 	567.49 	552.98 	516.49 	494.98 	292.25 	381.42 	399.58 	321.05 	247.38 	264.44 	245.94 	234.32 
MIO_EUR,O-Q,CZ	14448.31 	14594.50 	14634.16 	14244.58 	13499.91 	13806.62 	11778.11 	10844.15 	9660.70 	8351.38 	8021.42 	7535.94 	6088.44 	5219.08 
MIO_EUR,O-Q,CZ0	14448.31 	14594.50 	14634.16 	14244.58 	13499.91 	13806.62 	11778.11 	10844.15 	9660.70 	8351.38 	8021.42 	7535.94 	6088.44 	5219.08 
MIO_EUR,O-Q,CZ01	3466.55 	3453.97 	3451.32 	3448.54 	3248.87 	3516.19 	2639.09 	2490.72 	2221.98 	1894.64 	1795.14 	1720.46 	1234.71 	1064.72 
MIO_EUR,O-Q,CZ02	1171.75 	1184.50 	1185.16 	1154.80 	1020.99 	1040.09 	948.86 	903.92 	803.30 	701.45 	662.06 	625.28 	511.89 	450.55 
MIO_EUR,O-Q,CZ03	1544.80 	1545.23 	1549.17 	1467.96 	1413.13 	1409.16 	1261.18 	1180.09 	1068.97 	935.06 	920.87 	843.88 	673.30 	573.33 
MIO_EUR,O-Q,CZ04	1328.91 	1342.92 	1362.30 	1366.95 	1306.11 	1278.48 	1117.27 	1067.92 	941.64 	825.56 	798.75 	756.62 	652.52 	564.65 
MIO_EUR,O-Q,CZ05	1729.79 	1764.13 	1793.78 	1700.84 	1672.97 	1691.61 	1692.25 	1335.65 	1187.13 	1034.05 	992.24 	934.33 	795.23 	674.96 
MIO_EUR,O-Q,CZ06	2216.74 	2260.41 	2242.13 	2161.13 	2034.08 	2087.19 	1730.75 	1630.51 	1439.16 	1238.72 	1216.13 	1114.66 	921.13 	782.97 
MIO_EUR,O-Q,CZ07	1480.79 	1519.27 	1521.15 	1459.58 	1292.30 	1326.83 	1137.58 	1063.86 	961.99 	816.94 	778.59 	721.21 	619.47 	531.19 
MIO_EUR,O-Q,CZ08	1508.97 	1524.08 	1529.16 	1484.77 	1511.44 	1457.07 	1251.13 	1171.48 	1036.53 	904.96 	857.63 	819.50 	680.20 	576.70 
MIO_EUR,O-Q,DK	43074.59 	42888.35 	42246.66 	42686.75 	41185.44 	38238.73 	36013.07 	35282.27 	33813.17 	32975.98 	31860.52 	30799.95 	29326.10 	27938.10 
MIO_EUR,O-Q,DK0	43032.35 	42845.36 	42201.03 	42639.61 	41144.48 	38199.44 	35972.81 	35243.13 	33781.23 	32945.20 	31828.90 	30758.09 	29288.79 	27899.59 
MIO_EUR,O-Q,DK01	14976.74 	14861.83 	14536.01 	14710.43 	13947.11 	12932.81 	12398.06 	12167.55 	11628.33 	11343.43 	10958.19 	10717.45 	10282.74 	9750.33 
MIO_EUR,O-Q,DK02	5634.16 	5620.59 	5573.24 	5693.34 	5558.41 	5174.36 	4900.95 	4792.40 	4607.88 	4497.37 	4346.02 	4162.30 	3936.34 	3767.34 
MIO_EUR,O-Q,DK03	8549.86 	8529.36 	8434.09 	8485.09 	8287.31 	7712.98 	7265.59 	7089.73 	6810.44 	6662.05 	6456.46 	6196.49 	5901.16 	5591.51 
MIO_EUR,O-Q,DK04	9385.48 	9349.92 	9245.56 	9351.85 	9086.25 	8405.45 	7703.67 	7550.51 	7222.01 	7015.95 	6751.18 	6482.34 	6123.78 	5862.11 
MIO_EUR,O-Q,DK05	4485.98 	4483.52 	4412.26 	4398.91 	4265.26 	3973.85 	3704.53 	3642.93 	3512.71 	3426.26 	3317.05 	3199.25 	3044.78 	2928.31 
MIO_EUR,O-Q,DKZ	42.10 	42.99 	45.63 	47.13 	40.96 	39.16 	40.27 	39.15 	31.94 	30.78 	31.63 	41.85 	37.30 	38.37 
MIO_EUR,O-Q,DKZZ	42.10 	42.99 	45.63 	47.13 	40.96 	39.16 	40.27 	39.15 	31.94 	30.78 	31.63 	41.85 	37.30 	38.37 
MIO_EUR,O-Q,EE	1970.00 	1823.30 	1766.70 	1709.60 	1786.70 	1831.90 	1541.50 	1249.60 	1110.50 	982.60 	882.00 	792.50 	716.40 	671.80 
MIO_EUR,O-Q,EE0	1970.00 	1823.30 	1766.70 	1709.60 	1786.70 	1831.90 	1541.50 	1249.60 	1110.50 	982.60 	882.00 	792.50 	716.40 	671.80 
MIO_EUR,O-Q,EE00	1970.00 	1823.30 	1766.70 	1709.60 	1786.70 	1831.90 	1541.50 	1249.60 	1110.50 	982.60 	882.00 	792.50 	716.40 	671.80 
MIO_EUR,O-Q,EL	21865.68 	24181.52 	25973.77 	27992.19 	30702.30 	28437.38 	25906.97 	24220.43 	22526.40 	21539.12 	18764.03 	17059.37 	15270.78 	14334.11 
MIO_EUR,O-Q,EL3	9677.23 	10838.30 	11500.05 	12555.63 	13838.80 	12731.08 	11621.93 	10995.19 	10186.61 	9664.17 	8567.77 	7943.14 	7110.51 	6577.90 
MIO_EUR,O-Q,EL30	9677.23 	10838.30 	11500.05 	12555.63 	13838.80 	12731.08 	11621.93 	10995.19 	10186.61 	9664.17 	8567.77 	7943.14 	7110.51 	6577.90 
MIO_EUR,O-Q,EL4	1971.98 	2110.94 	2463.60 	2601.15 	2925.36 	2786.76 	2532.39 	2328.88 	2230.57 	2108.82 	1724.57 	1438.10 	1303.83 	1264.31 
MIO_EUR,O-Q,EL41	466.77 	495.12 	569.03 	580.55 	633.68 	592.91 	534.61 	471.19 	450.03 	399.77 	324.54 	252.11 	239.54 	232.34 
MIO_EUR,O-Q,EL42	525.39 	563.66 	707.99 	722.56 	813.75 	756.38 	714.56 	644.54 	596.21 	572.19 	488.51 	415.06 	365.87 	363.15 
MIO_EUR,O-Q,EL43	979.82 	1052.16 	1186.59 	1298.03 	1477.93 	1437.47 	1283.22 	1213.15 	1184.33 	1136.87 	911.52 	770.93 	698.42 	668.82 
MIO_EUR,O-Q,EL5	5740.81 	6431.31 	6927.72 	7406.52 	7743.76 	7244.65 	6482.49 	5944.49 	5579.05 	5447.75 	4630.51 	4201.29 	3761.37 	3529.20 
MIO_EUR,O-Q,EL51	1259.16 	1446.15 	1582.57 	1712.17 	1734.52 	1560.62 	1326.82 	1190.82 	1131.22 	1100.88 	955.16 	877.70 	744.88 	721.08 
MIO_EUR,O-Q,EL52	3413.91 	3842.67 	4065.90 	4380.78 	4662.12 	4380.63 	3999.04 	3720.90 	3427.48 	3300.65 	2735.65 	2465.81 	2250.25 	2088.09 
MIO_EUR,O-Q,EL53	442.41 	478.95 	531.59 	570.48 	587.15 	557.30 	512.53 	432.02 	433.01 	444.17 	357.03 	299.76 	297.08 	267.87 
MIO_EUR,O-Q,EL54	625.33 	663.54 	747.66 	743.08 	759.98 	746.09 	644.10 	600.76 	587.34 	602.05 	582.66 	558.02 	469.16 	452.16 
MIO_EUR,O-Q,EL6	4475.66 	4800.98 	5082.40 	5428.89 	6194.38 	5674.90 	5270.15 	4951.87 	4530.16 	4318.38 	3841.19 	3476.85 	3095.07 	2962.70 
MIO_EUR,O-Q,EL61	1448.65 	1553.06 	1535.02 	1648.15 	1889.05 	1679.72 	1592.66 	1500.26 	1291.42 	1312.40 	1185.14 	1019.27 	943.98 	883.96 
MIO_EUR,O-Q,EL62	277.14 	283.61 	346.47 	371.28 	405.78 	382.14 	350.83 	363.38 	340.54 	314.46 	304.82 	257.76 	230.05 	227.80 
MIO_EUR,O-Q,EL63	1148.70 	1269.62 	1334.22 	1401.14 	1581.41 	1423.07 	1389.79 	1281.50 	1169.07 	1069.54 	926.04 	868.66 	754.74 	748.29 
MIO_EUR,O-Q,EL64	744.91 	820.54 	898.90 	974.37 	1137.48 	1031.32 	950.79 	939.43 	884.22 	786.74 	740.06 	630.45 	576.01 	545.55 
MIO_EUR,O-Q,EL65	856.27 	874.14 	967.80 	1033.95 	1180.67 	1158.65 	986.08 	867.30 	844.91 	835.24 	685.13 	700.72 	590.29 	557.10 
MIO_EUR,O-Q,ES	136859.00 	136325.00 	144502.00 	146555.00 	146207.00 	137689.00 	126223.00 	115410.00 	106667.00 	98850.00 	92191.00 	85252.00 	80082.00 	75206.00 
MIO_EUR,O-Q,ES1	11954.50 	11794.80 	12542.10 	12826.30 	12941.70 	12146.40 	11171.00 	10227.30 	9445.90 	8744.30 	8261.20 	7609.00 	7207.90 	6767.10 
MIO_EUR,O-Q,ES11	7399.00 	7293.80 	7766.40 	7959.60 	8003.90 	7492.50 	6910.60 	6329.60 	5837.90 	5414.30 	5129.20 	4711.40 	4488.80 	4226.00 
MIO_EUR,O-Q,ES12	2954.00 	2934.30 	3119.60 	3184.10 	3237.00 	3037.30 	2783.50 	2545.80 	2357.00 	2175.90 	2060.20 	1894.00 	1762.20 	1630.50 
MIO_EUR,O-Q,ES13	1601.50 	1566.70 	1656.10 	1682.60 	1700.80 	1616.60 	1476.90 	1351.90 	1250.90 	1154.10 	1071.90 	1003.60 	956.90 	910.50 
MIO_EUR,O-Q,ES2	15603.60 	15434.60 	16130.20 	16189.80 	16024.00 	15088.50 	13894.70 	12718.20 	11897.50 	11106.70 	10548.00 	9950.00 	9386.80 	8847.30 
MIO_EUR,O-Q,ES21	8040.80 	7941.60 	8234.90 	8234.10 	8121.60 	7646.90 	7043.40 	6438.90 	6038.00 	5664.70 	5420.80 	5157.40 	4924.60 	4639.00 
MIO_EUR,O-Q,ES22	2257.50 	2228.90 	2341.50 	2321.10 	2309.20 	2176.40 	2030.60 	1880.90 	1782.80 	1687.00 	1588.20 	1502.30 	1434.80 	1360.00 
MIO_EUR,O-Q,ES23	887.00 	880.50 	918.60 	946.70 	947.80 	904.80 	839.70 	766.00 	716.50 	660.50 	625.10 	580.50 	526.40 	497.50 
MIO_EUR,O-Q,ES24	4418.30 	4383.60 	4635.20 	4687.80 	4645.30 	4360.40 	3981.00 	3632.50 	3360.20 	3094.50 	2914.00 	2709.70 	2501.00 	2350.80 
MIO_EUR,O-Q,ES3	22107.40 	21945.20 	22857.20 	23475.80 	23545.80 	22553.90 	20876.10 	19209.20 	17720.70 	16381.40 	14889.00 	13842.10 	13111.90 	12222.80 
MIO_EUR,O-Q,ES30	22107.40 	21945.20 	22857.20 	23475.80 	23545.80 	22553.90 	20876.10 	19209.20 	17720.70 	16381.40 	14889.00 	13842.10 	13111.90 	12222.80 
MIO_EUR,O-Q,ES4	17023.10 	16950.30 	18395.00 	18837.90 	18639.40 	17485.70 	16089.00 	14720.30 	13746.90 	12707.10 	11998.70 	11063.70 	10310.80 	9727.50 
MIO_EUR,O-Q,ES41	8015.90 	7955.80 	8337.60 	8532.30 	8495.90 	8095.40 	7578.90 	7014.20 	6610.60 	6111.60 	5862.20 	5472.80 	5101.50 	4863.10 
MIO_EUR,O-Q,ES42	5555.60 	5649.20 	6462.70 	6622.80 	6490.80 	5952.00 	5313.90 	4765.30 	4397.30 	4045.20 	3724.10 	3382.60 	3103.70 	2883.60 
MIO_EUR,O-Q,ES43	3451.50 	3345.30 	3594.80 	3682.80 	3652.70 	3438.30 	3196.20 	2940.90 	2739.00 	2550.40 	2412.50 	2208.20 	2105.60 	1980.70 
MIO_EUR,O-Q,ES5	35760.80 	35816.80 	37813.80 	38545.50 	38265.60 	35774.90 	32550.20 	29489.40 	27134.80 	25148.80 	23343.20 	21155.70 	19644.40 	18450.50 
MIO_EUR,O-Q,ES51	20797.70 	21110.80 	22042.10 	22519.70 	22272.10 	20821.10 	18757.80 	16846.60 	15519.80 	14387.80 	13386.00 	11979.40 	11154.60 	10552.30 
MIO_EUR,O-Q,ES52	11887.80 	11676.70 	12532.80 	12769.30 	12757.20 	11925.70 	10986.70 	10108.30 	9270.70 	8591.10 	7997.10 	7430.90 	6899.60 	6436.80 
MIO_EUR,O-Q,ES53	3075.20 	3029.20 	3238.90 	3256.50 	3236.40 	3028.10 	2805.70 	2534.40 	2344.20 	2169.90 	1960.10 	1745.40 	1590.20 	1461.40 
MIO_EUR,O-Q,ES6	27799.30 	27962.40 	29693.30 	29761.90 	29818.10 	27951.30 	25475.30 	23314.90 	21423.20 	19792.30 	18473.20 	17197.30 	16243.90 	15200.60 
MIO_EUR,O-Q,ES61	22696.60 	22871.00 	24288.70 	24333.10 	24413.10 	22935.20 	21023.10 	19280.40 	17688.00 	16349.80 	15250.30 	14203.90 	13462.20 	12571.80 
MIO_EUR,O-Q,ES62	4083.20 	4108.00 	4347.30 	4412.20 	4380.00 	4051.20 	3536.50 	3177.90 	2920.50 	2671.30 	2498.90 	2304.50 	2103.20 	1960.40 
MIO_EUR,O-Q,ES63	537.00 	521.10 	561.40 	539.10 	542.50 	512.40 	483.00 	449.80 	430.00 	404.70 	384.90 	362.70 	355.60 	348.90 
MIO_EUR,O-Q,ES64	482.50 	462.30 	495.90 	477.50 	482.50 	452.50 	432.80 	406.80 	384.70 	366.50 	339.10 	326.10 	322.90 	319.50 
MIO_EUR,O-Q,ES7	6009.10 	5842.40 	6251.30 	6338.70 	6406.40 	6131.20 	5639.50 	5203.30 	4844.10 	4565.10 	4328.30 	4047.70 	3781.50 	3600.70 
MIO_EUR,O-Q,ES70	6009.10 	5842.40 	6251.30 	6338.70 	6406.40 	6131.20 	5639.50 	5203.30 	4844.10 	4565.10 	4328.30 	4047.70 	3781.50 	3600.70 
MIO_EUR,O-Q,ESZ	601.30 	578.50 	819.00 	579.10 	566.00 	557.10 	527.30 	527.50 	454.00 	404.20 	349.30 	386.50 	394.80 	389.50 
MIO_EUR,O-Q,ESZZ	601.30 	578.50 	819.00 	579.10 	566.00 	557.10 	527.30 	527.50 	454.00 	404.20 	349.30 	386.50 	394.80 	389.50 
MIO_EUR,O-Q,FI	31293.00 	30775.00 	29503.00 	28332.00 	27393.00 	26329.00 	24679.00 	23638.00 	22793.00 	21733.00 	20743.00 	19760.00 	18735.00 	17684.00 
MIO_EUR,O-Q,FI1	31021.09 	30482.89 	29204.99 	28049.30 	27128.27 	26081.44 	24442.07 	23421.10 	22581.80 	21529.36 	20544.67 	19529.92 	18505.69 	17420.37 
MIO_EUR,O-Q,FI19	7459.59 	7247.61 	7168.52 	6297.26 	6160.04 	6109.28 	5674.48 	5468.93 	5458.65 	5143.37 	4896.44 	4605.34 	4340.20 	4102.27 
MIO_EUR,O-Q,FI1B	9800.61 	9428.97 	8916.63 	9818.41 	9281.95 	8639.42 	8089.83 	7660.24 	6821.12 	6595.90 	6262.44 	6010.58 	5757.45 	5345.58 
MIO_EUR,O-Q,FI1C	6207.86 	6271.15 	5965.18 	5441.01 	5320.33 	5159.61 	4822.58 	4675.79 	4646.10 	4393.77 	4205.88 	4015.09 	3739.41 	3505.35 
MIO_EUR,O-Q,FI1D	7553.04 	7535.16 	7154.67 	6492.63 	6365.94 	6173.14 	5855.18 	5616.14 	5655.93 	5396.32 	5179.91 	4898.91 	4668.63 	4467.17 
MIO_EUR,O-Q,FI2	223.27 	227.94 	226.91 	220.26 	205.27 	189.90 	178.01 	161.46 	162.35 	153.01 	149.64 	147.50 	137.60 	161.61 
MIO_EUR,O-Q,FI20	223.27 	227.94 	226.91 	220.26 	205.27 	189.90 	178.01 	161.46 	162.35 	153.01 	149.64 	147.50 	137.60 	161.61 
MIO_EUR,O-Q,FIZ	48.64 	64.17 	71.10 	62.44 	59.46 	57.66 	58.91 	55.43 	48.85 	50.63 	48.69 	82.58 	91.71 	102.03 
MIO_EUR,O-Q,FIZZ	48.64 	64.17 	71.10 	62.44 	59.46 	57.66 	58.91 	55.43 	48.85 	50.63 	48.69 	82.58 	91.71 	102.03 
MIO_EUR,O-Q,FR	: 	42492.00 	41625.00 	40929.00 	39307.00 	38495.30 	37140.80 	35630.50 	33977.60 	32602.70 	31016.70 	: 	: 	: 
MIO_EUR,O-Q,FR1	: 	6561.37 	6427.50 	6320.02 	6069.56 	5944.23 	5735.07 	5501.86 	5246.63 	5034.32 	4789.42 	: 	: 	: 
MIO_EUR,O-Q,FR10	: 	6561.37 	6427.50 	6320.02 	6069.56 	5944.23 	5735.07 	5501.86 	5246.63 	5034.32 	4789.42 	: 	: 	: 
MIO_EUR,O-Q,FR2	: 	7104.55 	6959.59 	6843.22 	6572.02 	6436.31 	6209.84 	5957.32 	5680.96 	5451.08 	5185.91 	: 	: 	: 
MIO_EUR,O-Q,FR21	: 	924.23 	905.38 	890.24 	854.96 	837.30 	807.84 	774.99 	739.04 	709.13 	674.64 	: 	: 	: 
MIO_EUR,O-Q,FR22	: 	1210.20 	1185.51 	1165.69 	1119.49 	1096.37 	1057.80 	1014.78 	967.71 	928.55 	883.38 	: 	: 	: 
MIO_EUR,O-Q,FR23	: 	1199.56 	1175.08 	1155.44 	1109.65 	1086.73 	1048.49 	1005.86 	959.20 	920.38 	875.61 	: 	: 	: 
MIO_EUR,O-Q,FR24	: 	1634.23 	1600.89 	1574.12 	1511.74 	1480.52 	1428.43 	1370.34 	1306.77 	1253.89 	1192.90 	: 	: 	: 
MIO_EUR,O-Q,FR25	: 	1001.67 	981.23 	964.83 	926.59 	907.46 	875.53 	839.93 	800.96 	768.55 	731.16 	: 	: 	: 
MIO_EUR,O-Q,FR26	: 	1134.64 	1111.49 	1092.91 	1049.60 	1027.92 	991.75 	951.42 	907.29 	870.57 	828.22 	: 	: 	: 
MIO_EUR,O-Q,FR3	: 	4111.69 	4027.80 	3960.45 	3803.50 	3724.95 	3593.89 	3447.75 	3287.80 	3154.76 	3001.30 	: 	: 	: 
MIO_EUR,O-Q,FR30	: 	4111.69 	4027.80 	3960.45 	3803.50 	3724.95 	3593.89 	3447.75 	3287.80 	3154.76 	3001.30 	: 	: 	: 
MIO_EUR,O-Q,FR4	: 	3679.48 	3604.41 	3544.14 	3403.69 	3333.40 	3216.11 	3085.33 	2942.20 	2823.15 	2685.81 	: 	: 	: 
MIO_EUR,O-Q,FR41	: 	1657.77 	1623.95 	1596.80 	1533.51 	1501.85 	1449.00 	1390.08 	1325.59 	1271.95 	1210.08 	: 	: 	: 
MIO_EUR,O-Q,FR42	: 	1235.44 	1210.23 	1190.00 	1142.84 	1119.24 	1079.86 	1035.94 	987.89 	947.91 	901.80 	: 	: 	: 
MIO_EUR,O-Q,FR43	: 	786.27 	770.23 	757.35 	727.33 	712.31 	687.25 	659.30 	628.72 	603.28 	573.93 	: 	: 	: 
MIO_EUR,O-Q,FR5	: 	5495.22 	5383.10 	5293.09 	5083.32 	4978.35 	4803.18 	4607.87 	4394.11 	4216.30 	4011.19 	: 	: 	: 
MIO_EUR,O-Q,FR51	: 	2179.43 	2134.96 	2099.26 	2016.07 	1974.44 	1904.97 	1827.50 	1742.72 	1672.20 	1590.86 	: 	: 	: 
MIO_EUR,O-Q,FR52	: 	2168.67 	2124.42 	2088.90 	2006.12 	1964.69 	1895.56 	1818.48 	1734.12 	1663.95 	1583.01 	: 	: 	: 
MIO_EUR,O-Q,FR53	: 	1147.12 	1123.71 	1104.92 	1061.13 	1039.22 	1002.65 	961.88 	917.26 	880.14 	837.33 	: 	: 	: 
MIO_EUR,O-Q,FR6	: 	4765.33 	4668.10 	4590.04 	4408.14 	4317.11 	4165.21 	3995.84 	3810.47 	3656.28 	3478.41 	: 	: 	: 
MIO_EUR,O-Q,FR61	: 	2187.02 	2142.39 	2106.57 	2023.09 	1981.31 	1911.60 	1833.86 	1748.79 	1678.02 	1596.39 	: 	: 	: 
MIO_EUR,O-Q,FR62	: 	2011.56 	1970.52 	1937.57 	1860.78 	1822.36 	1758.24 	1686.74 	1608.49 	1543.40 	1468.32 	: 	: 	: 
MIO_EUR,O-Q,FR63	: 	566.75 	555.19 	545.91 	524.27 	513.45 	495.38 	475.24 	453.19 	434.85 	413.70 	: 	: 	: 
MIO_EUR,O-Q,FR7	: 	4309.99 	4222.05 	4151.46 	3986.94 	3904.61 	3767.22 	3614.03 	3446.37 	3306.92 	3146.05 	: 	: 	: 
MIO_EUR,O-Q,FR71	: 	3347.29 	3278.99 	3224.16 	3096.39 	3032.45 	2925.75 	2806.77 	2676.57 	2568.26 	2443.32 	: 	: 	: 
MIO_EUR,O-Q,FR72	: 	962.71 	943.07 	927.30 	890.55 	872.16 	841.47 	807.25 	769.80 	738.65 	702.72 	: 	: 	: 
MIO_EUR,O-Q,FR8	: 	4783.86 	4686.25 	4607.89 	4425.28 	4333.90 	4181.41 	4011.37 	3825.29 	3670.50 	3491.94 	: 	: 	: 
MIO_EUR,O-Q,FR81	: 	1732.78 	1697.42 	1669.04 	1602.89 	1569.79 	1514.56 	1452.97 	1385.57 	1329.50 	1264.83 	: 	: 	: 
MIO_EUR,O-Q,FR82	: 	2755.38 	2699.16 	2654.03 	2548.85 	2496.22 	2408.39 	2310.45 	2203.27 	2114.11 	2011.27 	: 	: 	: 
MIO_EUR,O-Q,FR83	: 	295.70 	289.67 	284.82 	273.54 	267.89 	258.46 	247.95 	236.45 	226.88 	215.84 	: 	: 	: 
MIO_EUR,O-Q,HR	5077.49 	5176.31 	5365.22 	5314.43 	5294.71 	5169.16 	4686.48 	4271.82 	3937.06 	3638.64 	3395.00 	3146.06 	2808.72 	2678.02 
MIO_EUR,O-Q,HR0	5077.49 	5176.31 	5365.22 	5314.43 	5294.71 	5169.16 	4686.47 	4271.82 	3937.06 	3638.64 	3395.00 	3146.06 	2808.72 	2678.02 
MIO_EUR,O-Q,HU	10504.71 	10122.77 	10396.95 	10736.77 	10711.10 	12386.71 	11759.62 	11031.11 	11233.82 	10336.10 	9698.21 	8535.12 	6541.30 	5367.01 
MIO_EUR,O-Q,HU1	4383.79 	4240.34 	4570.06 	4540.92 	4637.17 	5434.68 	5120.52 	4584.94 	4480.01 	4108.34 	3766.27 	3393.56 	2609.93 	2151.62 
MIO_EUR,O-Q,HU10	4383.79 	4240.34 	4570.06 	4540.92 	4637.17 	5434.68 	5120.52 	4584.94 	4480.01 	4108.34 	3766.27 	3393.56 	2609.93 	2151.62 
MIO_EUR,O-Q,HU2	2587.71 	2493.87 	2484.14 	2600.93 	2569.41 	2966.78 	2831.02 	2738.55 	2877.74 	2662.98 	2558.70 	2190.17 	1683.55 	1394.50 
MIO_EUR,O-Q,HU21	846.96 	805.79 	826.66 	846.49 	840.13 	969.69 	905.89 	885.64 	959.64 	890.15 	858.42 	726.43 	564.35 	465.01 
MIO_EUR,O-Q,HU22	829.76 	811.00 	802.60 	836.70 	833.54 	975.72 	936.92 	911.19 	924.27 	855.37 	833.01 	717.13 	548.02 	461.06 
MIO_EUR,O-Q,HU23	910.98 	877.08 	854.88 	917.74 	895.74 	1021.37 	988.21 	941.73 	993.83 	917.46 	867.27 	746.61 	571.18 	468.43 
MIO_EUR,O-Q,HU3	3533.21 	3388.57 	3342.74 	3594.92 	3504.52 	3985.25 	3808.09 	3707.61 	3876.07 	3564.77 	3373.24 	2951.39 	2247.83 	1820.89 
MIO_EUR,O-Q,HU31	1042.56 	984.59 	990.22 	1058.08 	1035.89 	1180.79 	1131.64 	1104.69 	1167.20 	1078.91 	1029.26 	900.02 	680.17 	552.59 
MIO_EUR,O-Q,HU32	1332.05 	1278.73 	1243.30 	1358.45 	1325.28 	1491.86 	1416.82 	1364.83 	1422.16 	1309.40 	1233.11 	1074.74 	844.90 	685.15 
MIO_EUR,O-Q,HU33	1158.60 	1125.24 	1109.23 	1178.39 	1143.34 	1312.60 	1259.63 	1238.09 	1286.71 	1176.46 	1110.87 	976.62 	722.76 	583.15 
MIO_EUR,O-Q,HUZ	: 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
MIO_EUR,O-Q,HUZZ	: 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
MIO_EUR,O-Q,IE	22668.93 	22723.71 	22844.20 	22797.07 	24562.19 	24677.62 	22579.81 	20598.42 	18675.79 	17320.19 	15797.84 	13977.73 	12163.57 	10526.06 
MIO_EUR,O-Q,IE0	22668.93 	22723.71 	22844.20 	22797.07 	24562.19 	24677.62 	22579.81 	20598.42 	18675.79 	17320.19 	15797.84 	13977.73 	12163.57 	10526.06 
MIO_EUR,O-Q,IE01	5655.66 	5621.69 	5645.16 	5678.51 	6079.28 	6141.44 	5634.19 	5165.29 	4738.07 	4491.61 	4048.44 	3495.46 	3043.10 	2636.63 
MIO_EUR,O-Q,IE02	17013.27 	17102.02 	17199.04 	17118.56 	18482.91 	18536.18 	16945.62 	15433.13 	13937.72 	12828.58 	11749.39 	10482.27 	9120.46 	7889.43 
MIO_EUR,O-Q,IT	179029.90 	179267.50 	182359.00 	183565.00 	181903.00 	179755.00 	173018.00 	172302.00 	164762.00 	157547.00 	152136.00 	143884.00 	137489.00 	130151.00 
MIO_EUR,O-Q,ITC	42075.50 	42092.90 	42720.40 	43238.84 	42671.94 	41642.51 	39567.44 	39712.80 	37947.46 	36363.42 	35079.88 	33343.33 	31872.55 	30271.87 
MIO_EUR,O-Q,ITC1	11894.50 	11852.30 	12062.90 	12393.80 	12353.80 	12177.70 	11465.60 	11522.70 	10940.70 	10411.50 	9914.80 	9357.30 	8890.60 	8491.30 
MIO_EUR,O-Q,ITC2	553.10 	557.30 	567.90 	566.94 	577.94 	575.51 	525.64 	524.80 	481.66 	488.32 	479.68 	456.93 	409.05 	377.27 
MIO_EUR,O-Q,ITC3	5151.00 	5169.30 	5308.30 	5296.70 	5371.00 	5317.80 	5130.10 	5247.40 	5082.30 	4938.50 	4762.80 	4421.90 	4319.10 	4097.80 
