currency,nace_r2,geo\time	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 
MIO_EUR,A,CZ08	84.30 	84.26 	83.12 	81.12 	83.60 	103.26 	79.16 	77.31 	68.77 	70.96 	68.93 	67.30 	65.37 	63.20 
MIO_EUR,A,DE	7179.00 	6867.00 	6599.00 	6095.00 	6048.00 	5925.00 	5821.00 	5621.00 	5677.00 	6005.00 	6028.00 	6089.00 	6240.00 	6796.00 
MIO_EUR,A,DE1	583.28 	545.95 	518.28 	446.59 	440.39 	430.30 	443.17 	439.24 	446.93 	510.79 	512.75 	518.47 	549.49 	639.47 
MIO_EUR,A,DE11	194.93 	187.07 	177.87 	156.70 	153.78 	148.94 	156.99 	158.47 	161.08 	180.09 	180.77 	182.92 	192.62 	225.72 
MIO_EUR,A,DE12	104.97 	101.15 	96.44 	82.49 	84.26 	82.75 	86.05 	84.17 	85.97 	98.34 	99.62 	100.96 	107.96 	127.46 
MIO_EUR,A,DE13	139.09 	128.84 	122.94 	104.38 	101.07 	102.59 	104.57 	103.71 	105.61 	122.88 	122.06 	123.26 	130.37 	150.52 
MIO_EUR,A,DE14	144.29 	128.89 	121.04 	103.02 	101.28 	96.02 	95.55 	92.89 	94.28 	109.48 	110.30 	111.33 	118.55 	135.78 
MIO_EUR,A,DE2	800.52 	750.08 	730.87 	651.97 	654.04 	645.84 	647.78 	628.18 	633.36 	668.04 	672.74 	675.88 	705.00 	771.24 
MIO_EUR,A,DE21	207.63 	194.32 	188.52 	170.37 	168.67 	169.85 	170.52 	162.74 	145.16 	146.10 	145.73 	145.20 	149.77 	167.94 
MIO_EUR,A,DE22	104.41 	98.56 	94.94 	86.58 	85.94 	81.41 	87.88 	83.08 	70.39 	71.38 	69.22 	68.86 	71.07 	84.29 
MIO_EUR,A,DE23	78.68 	74.78 	72.82 	63.38 	65.75 	66.76 	67.75 	69.74 	104.38 	122.91 	127.07 	126.02 	134.05 	76.21 
MIO_EUR,A,DE24	71.78 	66.73 	64.96 	56.26 	56.84 	56.14 	51.61 	50.48 	45.19 	48.00 	47.47 	50.19 	52.20 	62.44 
MIO_EUR,A,DE25	90.47 	84.83 	83.03 	76.79 	76.19 	74.23 	73.53 	70.98 	65.07 	64.43 	65.03 	64.97 	66.79 	77.00 
MIO_EUR,A,DE26	114.66 	107.02 	105.34 	90.80 	93.54 	94.20 	94.14 	92.73 	110.56 	121.28 	123.77 	124.45 	128.36 	174.08 
MIO_EUR,A,DE27	132.89 	123.84 	121.26 	107.79 	107.12 	103.25 	102.35 	98.43 	92.61 	93.95 	94.44 	96.19 	102.76 	129.28 
MIO_EUR,A,DE3	10.72 	10.37 	10.16 	9.87 	10.07 	11.77 	11.89 	11.36 	12.27 	13.64 	13.86 	14.66 	15.18 	15.72 
MIO_EUR,A,DE30	10.72 	10.37 	10.16 	9.87 	10.07 	11.77 	11.89 	11.36 	12.27 	13.64 	13.86 	14.66 	15.18 	15.72 
MIO_EUR,A,DE4	614.56 	599.18 	592.22 	556.91 	554.10 	554.70 	548.17 	527.30 	543.90 	580.25 	592.32 	596.18 	599.73 	660.24 
MIO_EUR,A,DE40	614.56 	599.18 	592.22 	556.91 	554.10 	554.70 	548.17 	527.30 	543.90 	580.25 	592.32 	596.18 	599.73 	660.24 
MIO_EUR,A,DE5	5.84 	5.50 	5.47 	5.28 	5.46 	5.53 	6.14 	6.10 	6.22 	6.12 	7.71 	7.92 	8.51 	7.81 
MIO_EUR,A,DE50	5.84 	5.50 	5.47 	5.28 	5.46 	5.53 	6.14 	6.10 	6.22 	6.12 	7.71 	7.92 	8.51 	7.81 
MIO_EUR,A,DE6	21.14 	19.85 	18.33 	17.09 	17.19 	17.22 	16.45 	16.20 	16.45 	16.03 	15.32 	14.89 	14.99 	15.60 
MIO_EUR,A,DE60	21.14 	19.85 	18.33 	17.09 	17.19 	17.22 	16.45 	16.20 	16.45 	16.03 	15.32 	14.89 	14.99 	15.60 
MIO_EUR,A,DE7	301.37 	289.06 	283.20 	248.17 	248.49 	254.20 	260.06 	253.11 	254.69 	271.57 	274.53 	279.50 	293.55 	334.47 
MIO_EUR,A,DE71	145.89 	141.84 	138.81 	124.70 	122.79 	125.98 	132.22 	127.75 	123.82 	128.78 	126.21 	128.13 	134.80 	151.35 
MIO_EUR,A,DE72	53.54 	51.30 	49.76 	42.52 	44.28 	43.89 	45.23 	47.01 	49.49 	55.03 	54.96 	56.58 	60.10 	67.77 
MIO_EUR,A,DE73	101.94 	95.91 	94.63 	80.94 	81.40 	84.33 	82.61 	78.35 	81.38 	87.76 	93.36 	94.79 	98.65 	115.36 
MIO_EUR,A,DE8	493.12 	473.03 	457.94 	440.61 	436.86 	436.52 	418.95 	413.55 	419.35 	440.88 	451.03 	465.66 	480.56 	514.05 
MIO_EUR,A,DE80	493.12 	473.03 	457.94 	440.61 	436.86 	436.52 	418.95 	413.55 	419.35 	440.88 	451.03 	465.66 	480.56 	514.05 
MIO_EUR,A,DE9	1065.34 	999.82 	932.21 	868.67 	847.37 	778.15 	742.74 	706.72 	692.65 	710.78 	693.12 	684.13 	674.75 	717.56 
MIO_EUR,A,DE91	133.14 	123.34 	114.16 	109.10 	104.01 	99.13 	83.82 	80.15 	80.69 	91.50 	92.64 	91.82 	93.15 	111.28 
MIO_EUR,A,DE92	132.11 	122.50 	115.36 	109.56 	109.18 	103.72 	108.13 	103.65 	102.60 	110.99 	109.99 	106.89 	108.54 	126.59 
MIO_EUR,A,DE93	316.76 	294.88 	277.94 	252.48 	253.03 	231.38 	222.68 	212.02 	207.71 	209.63 	203.70 	202.19 	199.43 	215.04 
MIO_EUR,A,DE94	483.33 	459.09 	424.76 	397.53 	381.14 	343.92 	328.11 	310.90 	301.66 	298.67 	286.78 	283.23 	273.64 	264.64 
MIO_EUR,A,DEA	887.16 	853.92 	824.88 	758.57 	752.85 	722.92 	704.66 	662.86 	654.72 	657.30 	627.38 	620.72 	611.05 	632.66 
MIO_EUR,A,DEA1	274.65 	254.84 	248.34 	230.18 	232.26 	218.78 	217.62 	209.68 	206.25 	202.38 	190.53 	185.72 	177.07 	178.13 
MIO_EUR,A,DEA2	154.78 	151.25 	144.39 	134.40 	134.56 	127.99 	123.54 	117.37 	115.59 	118.87 	112.37 	111.69 	111.80 	119.42 
